bgg_id,title,year_published,game_weight,avg_rating,min_players,max_players,num_owned,num_want,num_wish,mfg_playtime,com_min_playtime,com_max_playtime,mfg_age_rec,num_user_ratings
192696,Orphans & Ashes,2016,3,5.7,2,2,218,1,15,45,30,45,13,52
192701,Final Touch,2016,1,6,2,4,766,10,64,15,15,15,8,418
192717,Pickpockets,2016,1,5.7,3,4,255,5,14,30,15,30,8,42
192728,Ranglin' Rabbits,2016,0,5.6,2,4,78,0,8,15,15,15,6,33
192729,Jump Ship!,2016,1,5.4,1,2,211,5,15,15,15,15,8,59
192730,Baba Yaga,2016,1,6,2,5,159,2,25,15,15,15,8,50
192731,Skiwampus,2016,1,6.5,2,6,169,2,20,20,20,20,10,52
192735,Broom Service: The Card Game,2016,1,6.1,3,6,2499,26,129,30,15,30,8,838
192762,Gauner raus!,2016,3,6.7,2,4,166,7,32,60,30,60,10,92
192777,Junta: Las Cartas,2016,2,6.6,3,6,712,16,71,60,45,60,12,202
192801,Among Us,2018,3,5.9,4,8,50,1,18,90,60,90,10,56
192802,Days of Ire: Budapest 1956,2016,3,7.4,1,4,2279,148,648,90,60,90,10,1054
192814,Lobo: 10Â° AniversA¡rio,2015,1,6.5,2,4,182,0,5,0,30,0,7,76
192824,GYM,2017,2,6.3,2,6,1525,4,37,20,10,20,10,281
192827,RUM,2017,2,6.4,2,4,1689,7,36,20,10,20,10,330
192829,SOW,2017,2,6.1,2,4,1523,4,37,25,15,25,10,258
192830,ORC,2017,2,6.5,2,2,1774,5,43,10,5,10,8,399
192834,Fight for Olympus,2016,2,6.7,2,2,2169,20,240,30,30,30,12,1179
192836,The Colonists,2016,4,7.6,1,4,7175,267,1607,360,30,360,12,3682
192858,"Mrs Thatcher's War: The Falklands, 1982",2017,3,8,1,1,481,89,268,250,100,250,12,133
192860,Oceanos,2016,2,6.8,2,5,5231,120,918,45,30,45,8,3042
192891,Daimyo's Fall,2018,4,7.5,1,5,205,8,58,60,45,60,14,84
192904,Destroy BCN!,2016,2,5.3,2,4,82,0,8,30,20,30,10,51
192906,Heir to the Pharaoh,2016,3,6.9,2,2,488,32,161,60,45,60,10,202
192909,Sneaky Cards,2015,1,6.2,1,0,545,6,35,0,15,0,12,106
192924,StoryLine: Fairy Tales,2016,1,6.2,3,8,527,7,44,30,15,30,8,203
192927,Last Friday,2016,2,6.4,2,6,2867,118,901,120,30,120,14,1251
192934,Colony,2016,2,6.6,1,4,2767,83,645,60,45,60,13,1819
192945,Coal Baron: The Great Card Game,2016,3,7.1,2,4,3181,57,228,80,50,80,10,1489
192947,Camel Up Cards,2016,2,6.7,2,6,2420,38,157,60,30,60,8,1117
192984,Revenge of the Dictators,2016,2,6.1,2,5,385,1,41,105,45,105,13,236
193029,Tiffin,2016,2,5.9,2,4,274,4,46,60,30,60,14,99
193031,Coal Country,2017,3,6.1,2,4,193,8,38,90,45,90,14,39
193037,Dead of Winter: The Long Night,2016,3,7.6,2,5,18935,350,2778,120,60,120,14,8475
193042,Junk Art,2016,1,7.4,2,6,8925,498,2418,30,30,30,8,5970
193049,Mau Mau!!,0,1,5.1,2,6,58,0,0,0,0,0,6,43
193062,Bidder Up!,2016,2,6.5,2,4,559,21,109,60,60,60,10,192
193083,Kribbeln,2016,1,6.4,2,5,574,14,62,20,20,20,8,339
193103,Ameritocracy,2016,3,7.9,2,4,62,4,11,60,20,60,12,30
193105,Utopia Engine: Beast Hunter,2013,2,7.4,1,1,299,3,107,30,30,30,12,80
193121,Legends,2016,2,6.4,2,4,228,4,33,60,40,60,9,117
193122,Stir Fry Eighteen,2015,1,6.2,2,5,168,7,33,12,5,12,6,249
193131,Os Reinos de Drunagor,2016,2,7.4,2,4,64,0,13,60,30,60,14,44
193134,Memory: The Board Game,2016,1,6.4,2,4,53,3,12,50,30,50,7,32
193141,The Game of Life Junior,2014,1,4,2,4,223,1,3,30,15,30,5,81
193161,Tubyrinth,2016,1,6.3,1,6,170,2,26,20,20,20,8,115
193164,Macroscope,2016,1,6,2,6,806,11,70,30,30,30,6,431
193193,Watchmen of Destiny,2016,2,6.2,2,4,720,3,31,45,25,45,10,235
193210,Dice Stars,2016,1,6.7,1,4,2063,58,245,25,15,25,10,1222
193212,Chariot Race,2016,2,6.1,2,6,1122,19,114,45,15,45,8,722
193213,Millions of Dollars,2016,2,6.5,3,8,712,60,360,25,25,25,10,384
193214,Meeple Circus,2017,1,7.1,2,5,7411,271,1444,45,45,45,8,4616
193238,Tunisia II,2016,4,8.5,1,2,902,35,107,3000,120,3000,0,194
193240,Pasaraya: Supermarket Manager,2018,3,7.2,1,4,90,18,42,90,60,90,14,74
193248,Get Off My Land!,2017,3,6.4,2,4,524,12,84,60,30,60,14,173
193265,Port Royal: Unterwegs!,2016,1,6.6,2,4,1378,31,134,30,15,30,8,424
193271,Stadt-Land-anders,2016,0,5.9,2,99,82,0,7,40,15,40,8,32
193272,BAcherwurm,2016,1,5.4,2,8,178,1,6,30,10,30,8,57
193278,Yomi Starter Set: Grave versus Jaina,2016,2,6.5,2,2,236,1,9,30,15,30,8,80
193291,Orient Express,2017,3,7.1,2,5,262,7,59,90,45,90,14,95
193295,Drunk Stoned or Stupid: A Party Game,2014,1,4.4,4,0,773,3,32,30,15,30,17,188
193301,Sail Away,2016,2,5.8,2,4,402,1,43,60,45,60,10,113
193308,Spyfall 2,2016,1,7,3,12,5754,108,827,15,15,15,13,2505
193322,Master of Orion: The Board Game,2016,2,7,2,4,2873,52,464,60,40,60,12,1469
193327,The Golden Sails,2016,2,6.8,2,4,169,18,100,35,35,35,12,155
193328,Blanc-Manger Coco,2015,1,5.6,3,12,788,2,20,30,30,30,16,367
193329,Limite limite,2015,1,5.5,3,10,173,0,3,30,30,30,18,89
193337,Chez Geek 1+2,2014,2,6.3,2,5,96,1,4,60,60,60,13,33
193417,Captains of the Golden Age,2016,2,6.9,2,4,296,7,68,180,60,180,11,156
193422,C.O.G.,2017,2,6.7,2,4,462,12,75,120,60,120,14,135
193428,Street Fighter: The Miniatures Game,2021,2,7.2,2,6,1067,28,234,90,30,90,14,531
193436,Double Ditto,2015,1,6.3,4,99,258,1,15,30,15,30,10,69
193483,Dwar7s Fall,2016,2,6.6,2,4,2139,18,113,60,20,60,12,814
193485,Dastardly Dirigibles,2016,2,6.4,2,5,1148,4,98,60,60,60,8,428
193486,Neolithic,2016,2,7.2,1,2,831,28,153,45,30,45,14,318
193488,Airlines,2016,3,4.4,2,4,138,2,49,60,60,60,10,101
193500,Statecraft: The Political Card Game,2017,2,5.3,2,6,452,6,50,60,20,60,14,188
193512,Kingdom Defenders,2018,3,7.7,2,4,453,20,194,90,60,90,12,369
193551,Mutant Crops,2016,2,7.2,1,4,465,13,54,30,15,30,14,227
193557,Android: Mainframe,2016,2,6.6,2,4,3476,45,305,30,15,30,12,1750
193558,The Oracle of Delphi,2016,3,7.3,2,4,6126,290,1170,100,70,100,12,4469
193560,Escape the Room: Mystery at the Stargazer's Manor,2016,2,6.6,3,8,3110,45,241,90,90,90,10,1676
193577,Star Traders,2016,2,7.7,2,6,118,2,9,180,20,180,7,37
193584,The Last Garden,2017,2,7.1,2,4,290,3,41,45,30,45,13,101
193592,Gas Out,2016,1,4.8,2,6,204,0,5,0,15,0,5,93
193621,Joking Hazard,2016,1,6.4,3,10,11400,34,435,90,30,90,18,4774
193628,J'Accuse!,2016,1,5.7,3,6,342,4,38,60,30,60,14,96
193651,Bohemian Villages,2016,2,6.3,2,5,1081,29,121,30,30,30,8,685
193668,The Red Dragon Inn: Battle for Greyport,2016,3,7.2,2,5,1605,49,291,100,40,100,12,576
193670,Darkest Night (Second Edition),2018,3,7.6,1,5,1701,151,862,180,120,180,14,631
193681,ButaBabel,2016,0,5.6,3,5,45,0,7,0,5,0,6,40
193693,Agamemnon,2016,2,6.7,2,2,771,12,122,30,20,30,12,323
193695,Let Them Eat Cake,2016,2,5.7,3,6,455,4,60,60,45,60,12,138
193696,Rogue Stars: Skirmish Wargaming in a Science Fiction Underworld,2016,3,7.2,2,2,298,5,36,0,0,0,12,68
193697,The Men Who Would Be Kings: Colonial Wargaming Rules,2016,2,8.1,2,2,141,3,23,0,0,0,12,44
193699,Konflikt '47,2016,3,7.9,2,2,112,3,16,0,0,0,12,31
193700,Horizon Wars: Science-Fiction Combined-Arms Wargaming,2016,2,8.1,2,2,138,2,19,120,30,120,12,50
193715,Dungeons of Infinity,2021,3,8.1,1,5,252,50,301,120,60,120,12,85
193725,Blood & Plunder,2016,3,8.7,2,2,203,16,98,90,60,90,12,100
193727,Absolute War! The Russian Front 1941-45,2021,3,8.5,2,2,285,44,183,240,60,240,14,46
193728,Pendragon: The Fall of Roman Britain,2017,4,8,1,4,2943,223,955,360,60,360,16,869
193737,Star Trek Panic,2016,2,7,1,6,3722,138,586,90,90,90,13,1709
193738,Great Western Trail,2016,4,8.3,2,4,39288,1599,10642,150,75,150,12,32599
193739,JA³rvA­k,2016,2,6.8,2,5,3887,79,487,90,45,90,10,1966
193792,Arcole 1796,2016,3,7.4,2,2,177,7,17,0,0,0,0,41
193818,Basketball Age,2016,3,7.4,2,2,105,15,44,120,80,120,12,68
193831,ColorFox,2016,1,6.3,2,4,243,1,20,15,15,15,6,103
193840,The Dragon & Flagon,2016,2,6.4,2,8,2199,96,593,60,60,60,10,1222
193854,Gnomi,2017,1,6.4,2,6,151,1,12,10,10,10,12,52
193867,1822: The Railways of Great Britain,2016,4,8.3,3,7,1025,88,261,420,300,420,12,430
193912,End of the Line,2016,2,7.1,3,5,245,4,42,80,70,80,13,101
193927,Vanuatu (Second Edition),2016,3,7.5,2,5,1989,83,380,90,60,90,12,1017
193949,Star Trek: Ascendancy,2016,3,7.8,3,3,5598,325,1503,180,180,180,14,2818
193953,Mistfall: Heart of the Mists,2016,4,7.5,1,4,1932,34,239,120,120,120,14,475
193981,Downfall,2019,4,6.5,3,6,746,24,204,150,90,150,14,185
194019,Guilds,2017,2,6.6,2,4,499,40,220,90,60,90,10,319
194028,Rabbit Rally,2016,1,6.3,2,4,345,19,60,15,15,15,4,159
194032,Dragon Rapid Fire,2016,1,5.3,2,4,267,4,15,15,10,15,3,116
194033,Magic Feathers,2016,0,5.8,2,5,96,1,5,15,15,15,4,37
194034,Fire! Fire! Fire Fighters!,2016,0,5.7,2,4,88,0,9,15,10,15,5,32
194040,Star Wars: Rule the Galaxy,2015,1,5.5,1,4,105,1,5,30,20,30,6,60
194061,Cult: Choose Your God Wisely,2018,3,7.2,2,5,590,22,200,90,45,90,12,261
194062,Master of the Galaxy,2018,3,6.6,2,4,838,17,221,120,45,120,10,389
194075,Vroom Vroom,2016,1,5.3,2,4,115,2,5,20,10,20,4,49
194078,Operation Mercury: The Invasion of Crete,2017,4,8.1,2,2,650,24,98,1710,60,1710,0,122
194079,ROX,2014,1,5.7,2,4,321,0,12,15,0,15,7,104
194081,Deathwatch: Overkill,2016,3,7.1,2,2,827,28,109,60,60,60,0,218
